case_id,question,status,fleet_count,Tmax_h,Tmin_h,delta_h,total_distance_km,total_wait_h,total_detour_km,valid,task_coverage,multiplicity_valid,consecutive_point,routes_closed,within_9h,nofly_valid
Case1,q1,best_verified,5,8.712873070929895,8.495453084440388,0.21741998648950656,2040.6427160114158,0.0,0.0,True,True,True,True,True,True,True
Case1,q2,best_verified,5,8.61393069599062,8.524304418865803,0.08962627712481641,2028.6787980302886,0.0,0.0,True,True,True,True,True,True,True
Case1,q3,best_verified,5,8.74003575371345,8.613930695990618,0.12610505772283176,2055.2014855053912,0.0,0.0,True,True,True,True,True,True,True
Case1,q3_fixed_fleet,best_verified,5,8.74003575371345,8.613930695990618,0.12610505772283176,2055.2014855053912,0.0,0.0,True,True,True,True,True,True,True
Case2,q1,best_verified,2,7.958334588498097,7.920151054123512,0.03818353437458555,236.23337701085518,0.0,0.0,True,True,True,True,True,True,True
Case2,q2,best_verified,2,7.801075470281366,7.7984196689171785,0.0026558013641873046,220.88889932258664,0.0,0.0,True,True,True,True,True,True,True
Case2,q3,best_verified,3,7.160807548153949,7.1269897092241665,0.03381783892978252,458.1291317319825,1.5028647395091368,1.7809714805139265e-06,True,True,True,True,True,True,True
Case2,q3_fixed_fleet,infeasible_under_9h,2,10.138827857927966,7.7984196689171705,2.3404081890107955,220.88889932258664,2.3377523876466015,0.0,False,True,True,True,True,False,False
Case3,q1,best_verified,6,8.61248972062361,8.53258426624702,0.0799054543765898,2189.4952227586678,0.0,0.0,True,True,True,True,True,True,True
Case3,q2,best_verified,6,8.597955265854804,8.500351000913737,0.09760426494106689,2180.421023749162,0.0,0.0,True,True,True,True,True,True,True
Case3,q3,best_verified,9,7.981172824801629,7.759291468815596,0.22188135598603242,3269.2589607642467,0.0,0.454442726046409,True,True,True,True,True,True,True
Case3,q3_fixed_fleet,infeasible_under_9h,6,10.412534991872716,8.581603005611163,1.8309319862615538,2180.421023749162,6.991059054661264,0.0,False,True,True,True,True,False,True
Case4,q1,best_verified,5,8.137822310663559,7.770003832738453,0.36781847792510547,1371.6554054448836,0.0,0.0,True,True,True,True,True,True,True
Case4,q2,best_verified,5,8.137822310663559,8.073396315197336,0.06442599546622318,1393.01534378556,0.0,0.0,True,True,True,True,True,True,True
Case4,q3,best_verified,7,8.380167320523745,8.310873820089597,0.0692935004341475,2376.158737184763,0.0,0.0,True,True,True,True,True,True,True
Case4,q3_fixed_fleet,infeasible_under_9h,5,10.371654062239095,8.074418379575837,2.297235682663258,1393.01534378556,5.240739277854516,0.0,False,True,True,True,True,False,False
